Sample_Name Bcell CD4T CD8T Gran Mono NK nRBC
GSM1947014_3999997072_R03C02 GSM1947014_3999997072_R03C02 0 -5.42456582237073e-20 0.362147767761781 0.0271816584300092 0.104717572055959 4.54641122502968e-20 0.618529290755505
GSM1947015_3999997114_R04C02 GSM1947015_3999997114_R04C02 0.00682017544618881 -6.93889390390723e-18 0.333065457347848 0.0250128056412723 0.12291561189071 4.06255937840027e-20 0.611119936831479
GSM1947016_3999997080_R04C02 GSM1947016_3999997080_R04C02 0 -2.15351502631781e-19 0.355668519138733 0.0370226699956827 0.0932622584336779 3.83943439005455e-20 0.636454240377633
GSM1947017_5806636028_R05C02 GSM1947017_5806636028_R05C02 0.00104056238158718 0 0.338491319942895 0.0587427461453229 0.0691606185740863 3.98959130268726e-20 0.613350066156458
GSM1947018_3999997076_R06C02 GSM1947018_3999997076_R06C02 0 -1.2473174413767e-18 0.366856830561365 0.0427192982963617 0.0816465322667295 1.03716872334283e-19 0.623197858599777
GSM1947019_6190781088_R05C01 GSM1947019_6190781088_R05C01 0 -7.87908344734504e-20 0.373734617795499 0.0312849302777849 0.0997081417982884 4.53921522564025e-20 0.621182977090377
GSM1947020_5806636083_R05C01 GSM1947020_5806636083_R05C01 0.0157540995833947 0 0.358326196712498 0.0353660969013043 0.101964379375297 3.51189896465213e-20 0.587001137382844
GSM1947021_5806636086_R01C01 GSM1947021_5806636086_R01C01 0 -1.08711503785274e-18 0.376306453930489 0.0403024058024869 0.0768103689104554 8.41203172654844e-20 0.625266500468823
GSM1947022_5806417081_R02C01 GSM1947022_5806417081_R02C01 0 -9.12705713894587e-19 0.343483757750636 0.0363761404062106 0.0971725965164802 7.72984676023701e-20 0.618087988572442
GSM1947023_5806636063_R04C01 GSM1947023_5806636063_R04C01 0 -1.21528672177047e-18 0.365819079682832 0.0369886336903103 0.0904529806265951 9.61206470549675e-20 0.612818972239862
GSM1947024_5806417009_R01C01 GSM1947024_5806417009_R01C01 0.00018684835240995 0 0.349492574190626 0.0287327982765965 0.112293004990518 2.0463144508681e-20 0.615768737268699
GSM1947025_5806417064_R06C02 GSM1947025_5806417064_R06C02 0 -5.14979683347086e-18 0.358088524174615 0.0347293706658679 0.105068776605865 2.86825077736633e-19 0.610421732354782
GSM1947026_5806636019_R06C02 GSM1947026_5806636019_R06C02 0.016735543276837 0 0.355834371542577 0.0421636317853255 0.0937187514040185 3.83961242929817e-20 0.609586356676263
GSM1947027_5806636085_R06C01 GSM1947027_5806636085_R06C01 0.0175155198838975 0 0.352261395064842 0.0285293245143106 0.10833755216459 1.28661873285834e-20 0.605789319895843
GSM1947028_5806636035_R03C02 GSM1947028_5806636035_R03C02 0 -1.59344831705092e-18 0.325962356852697 0.0478003757489958 0.104372508438796 1.16674671966689e-19 0.590526665197588
GSM1947029_5806417045_R01C02 GSM1947029_5806417045_R01C02 0.00796298911198697 0 0.356642444964544 0.0452247930099759 0.0788255948136252 2.42053091092635e-20 0.635641857307747
GSM1947030_5806417076_R02C01 GSM1947030_5806417076_R02C01 0.00141104209590586 0 0.359124619563838 0.0462931906082078 0.0798466567128177 4.92682778997021e-20 0.624881101711206
GSM1947031_5806636079_R02C02 GSM1947031_5806636079_R02C02 -8.04960629971348e-19 -9.09795945519061e-18 0.334609847391858 0.0562181304824525 0.0633906149684544 0 0.639738789734083
GSM1947032_5806417077_R05C02 GSM1947032_5806417077_R05C02 0.0153250872517841 0 0.354682018485194 0.038802131492658 0.0918460911560412 3.36855243852225e-20 0.608092272955733
GSM1947033_5859594009_R06C01 GSM1947033_5859594009_R06C01 0 -3.11175962346662e-20 0.384733534016725 0.0475779516300984 0.0692426868092659 2.29123458747792e-20 0.622549847957962
GSM1947034_5806636041_R05C01 GSM1947034_5806636041_R05C01 0.00721117323840075 0 0.356521293249085 0.0431894060331753 0.0886380262926569 2.31442327236576e-20 0.604914225114472
GSM1947035_5806636036_R01C01 GSM1947035_5806636036_R01C01 0.0048650052594735 0 0.351337938642848 0.0675509866129984 0.0633281149736299 3.1789959457752e-20 0.596070464724918
GSM1947036_5806636029_R01C02 GSM1947036_5806636029_R01C02 0.0124162846410387 0 0.366336164861656 0.0710803363671147 0.0604215874408956 4.04605512159648e-20 0.595969363103816
GSM1947037_5859594009_R04C02 GSM1947037_5859594009_R04C02 0 -1.89674295439664e-18 0.386606741440602 0.0349124096784211 0.0654620695278485 1.36615511611211e-19 0.625047093607839
GSM1947038_6008581014_R04C02 GSM1947038_6008581014_R04C02 0.0124613656645715 0 0.356892565899271 0.035757384327537 0.0839464603656729 5.55512709887162e-17 0.622746784898797
GSM1947039_5806636086_R02C02 GSM1947039_5806636086_R02C02 0.00143329680411561 0 0.378236543922676 0.044581667173356 0.0753460605260986 -5.54781018353922e-17 0.630417903672712
GSM1947040_5859594006_R01C02 GSM1947040_5859594006_R01C02 0.0194944700123163 -6.93889390390723e-18 0.361859076379217 0.0541932482001215 0.058201251930459 4.2253332033779e-20 0.615334363612034
GSM1947041_5806636059_R05C02 GSM1947041_5806636059_R05C02 0.0182744895482501 -2.14151086288803e-18 0.315211195715747 0.0440470113289921 0.0973773838511801 0 0.600941029487246
GSM1947042_5806636037_R02C02 GSM1947042_5806636037_R02C02 0.00465393251724299 0 0.369420054899061 0.023169863794375 0.0828478388634349 4.28974788229007e-20 0.633599844565347
GSM1947043_5806636061_R04C01 GSM1947043_5806636061_R04C01 0 -3.87819546761381e-19 0.34671634965341 0.0346533893018827 0.0986845211006997 5.36040487224777e-20 0.632316583727127
GSM1947044_5806636042_R04C01 GSM1947044_5806636042_R04C01 0.0112158804679179 0 0.362424736850578 0.0478587401834983 0.0900219143188598 3.16359300817464e-20 0.602467148878585
GSM1947045_5806636051_R01C02 GSM1947045_5806636051_R01C02 0.00599829291239508 0 0.363442028503712 0.0581012409020091 0.0751336913801623 3.16563778381192e-20 0.623736987557021
GSM1947046_5806636085_R05C02 GSM1947046_5806636085_R05C02 0 -5.92412764596884e-19 0.383619196377453 0.0538282484362992 0.058487644266613 7.96177173269673e-20 0.622910282962991
GSM1947047_5859594009_R02C02 GSM1947047_5859594009_R02C02 0 -1.65984284327636e-18 0.376482376661813 0.0541642253372663 0.0645242993665073 9.99255318342368e-20 0.616861468865225
GSM1947048_5806417009_R04C01 GSM1947048_5806417009_R04C01 0 -1.5476533982734e-18 0.379772874940986 0.0415419442886456 0.0815233360987354 5.56157218439117e-17 0.619796835634295
GSM1947073_5806636039_R05C01 GSM1947073_5806636039_R05C01 0.0171845933745502 0 0.366127250280739 0.039906315195007 0.0849014795653092 2.1385714403298e-20 0.604842229314139
GSM1947074_5806636086_R03C02 GSM1947074_5806636086_R03C02 -1.73472347597681e-18 -2.06296071939124e-18 0.368527345942097 0.0524992649479022 0.072465660371404 1.38619128541092e-19 0.628139770068207
GSM1947075_5859594028_R06C02 GSM1947075_5859594028_R06C02 0.00609799380062166 0 0.355783027231383 0.0544877472335805 0.0635018585135287 4.55366792011509e-20 0.618122572131981
GSM1947076_5859720029_R03C01 GSM1947076_5859720029_R03C01 0 -3.19880593253573e-19 0.358555597584891 0.0460464832080329 0.0859766380310385 4.27698794077721e-20 0.617027768062971
GSM1947077_6008581005_R06C01 GSM1947077_6008581005_R06C01 0.00469661770098742 0 0.361884243289094 0.0543384457885562 0.0657541193130023 5.23559626067259e-20 0.599043664452711
GSM1947078_6008581005_R03C02 GSM1947078_6008581005_R03C02 0 -5.92822693690074e-19 0.357310417624916 0.0435110952467602 0.076566485770782 6.06764033070799e-20 0.629867927179903
GSM1947079_5806636028_R01C01 GSM1947079_5806636028_R01C01 0 -3.01886170242085e-19 0.358744401058337 0.0623886819098268 0.0637393185196423 5.82472073567781e-20 0.607611517468386
GSM1947080_5859594028_R06C01 GSM1947080_5859594028_R06C01 0 6.82233473490232e-18 0.358236016233507 0.0636440133902166 0.0706335274047278 3.93501176059741e-20 0.609599878571052
GSM1947081_5806636079_R03C02 GSM1947081_5806636079_R03C02 0 -8.95986102678194e-18 0.31542005860309 0.0431425235528396 0.0843734983050705 -1.63415786547957e-18 0.625554465786571
GSM1947082_5806417045_R03C02 GSM1947082_5806417045_R03C02 0 -8.36047391949707e-20 0.359942014161804 0.0370811302793359 0.0990056590450424 5.09414298845495e-20 0.612726911447405
GSM1947083_5806417045_R04C01 GSM1947083_5806417045_R04C01 0 -9.10158722496908e-19 0.367809530762143 0.0428722575807114 0.098592285900698 8.25591748001233e-20 0.606123893914274
GSM1947084_5806636026_R05C02 GSM1947084_5806636026_R05C02 0 -1.81221048177636e-18 0.336757946925834 0.0331554413394548 0.116219150564157 1.27283400969656e-19 0.626545013038542
GSM1947085_6008581014_R06C01 GSM1947085_6008581014_R06C01 0 -1.57176215062909e-19 0.356337892162007 0.0367617885211081 0.0973763454899427 4.67157596968937e-20 0.613652513128346
GSM1947086_5806636042_R03C01 GSM1947086_5806636042_R03C01 0 -7.60297612380383e-18 0.382049138110489 0.0285390702311027 0.0898724443853599 6.55068132981036e-20 0.62063115283321
GSM1947087_5806636041_R06C01 GSM1947087_5806636041_R06C01 0.00389991491150256 0 0.375491704637134 0.0621301324023765 0.0534385519763577 3.26550658972711e-20 0.613811725360579
GSM1947088_5806636086_R03C01 GSM1947088_5806636086_R03C01 0 -1.72201366931044e-18 0.356242347800203 0.0339442850164482 0.0976709241451693 1.17967166171771e-19 0.632337960970594
